Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan","AFG","Number of paid employees, by occupation: Teachers","BI.PWK.TOTL.NO.TS",,,,,,,,,,,,,,"1115",,,,,,,,,
"Afghanistan","AFG","Number of public paid employees","BI.PWK.PUBS.NO",,,,"935",,,,"2600",,,,"3826",,"3954",,,,,,"2568",,,
"Afghanistan","AFG","Number of public paid employees, by industry: Core Public Administration","BI.PWK.PUBS.NO.CA",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of public paid employees, by industry: Education","BI.PWK.PUBS.NO.ED",,,,,,,,,,,,,,"1146",,,,,,,,,
"Afghanistan","AFG","Number of public paid employees, by industry: Health","BI.PWK.PUBS.NO.HE",,,,,,,,,,,,,,"159",,,,,,,,,
"Afghanistan","AFG","Number of public paid employees, by industry: Public Administration","BI.PWK.PUBS.NO.PA",,,,,,,,,,,,,,"1953",,,,,,,,,
"Afghanistan","AFG","Number of public paid employees, by industry: Public Safety","BI.PWK.PUBS.NO.PS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of public paid employees, by industry: Social Security","BI.PWK.PUBS.NO.SS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of public paid employees, by occupation: Medical workers","BI.PWK.PUBS.NO.MW",,,,,,,,,,,,,,"89",,,,,,,,,
"Afghanistan","AFG","Number of public paid employees, by occupation: Teachers","BI.PWK.PUBS.NO.TS",,,,,,,,,,,,,,"1001",,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in private sector (ratio of 90th/10th percentile earners)","BI.WAG.CPRS.PV.ZS",,,,,,,,"2.5",,,,,,"14.5576553344727",,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector (ratio of 90th/10th percentile earners)","BI.WAG.CPRS.PB.ZS",,,,,,,,"1.20000004768372",,,,,,"3.59999990463257",,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: Government economist (clerk as reference)","BI.WAG.CPRS.PB.GE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: Hospital doctor (clerk as reference)","BI.WAG.CPRS.PB.HD.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: Hospital nurse (clerk as reference)","BI.WAG.CPRS.PB.HN.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: Judge (clerk as reference)","BI.WAG.CPRS.PB.JU.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: Police officer (clerk as reference)","BI.WAG.CPRS.PB.PO.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: Primary school teacher (clerk as reference)","BI.WAG.CPRS.PB.PT.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: Secondary school teacher (clerk as reference)","BI.WAG.CPRS.PB.ST.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: Senior officials (clerk as reference)","BI.WAG.CPRS.PB.SN.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Pay compression ratio in public sector, by occupation: University teacher (clerk as reference)","BI.WAG.CPRS.PB.UT.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Proportion of total employees with tertiary Education working in public sector","BI.EMP.TOTL.PB.TT.ZS",,,,"0.603745698928833",,,,"0.67774510383606",,,,"0.646040081977844",,"0.620117664337158",,,,,,"0.470988541841507",,,
"Afghanistan","AFG","Public Administration workers, as a share of public formal employees","BI.EMP.FRML.PB.PA.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Public Administration workers, as a share of public paid employees","BI.EMP.PWRK.PB.PA.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Public Administration workers, as a share of public total employees","BI.EMP.TOTL.PB.PA.ZS",,,,,,,,,,,,,,,,,,,,,,,
